time,site,infector
0,Rodoviaria,NA
1,Rodoviaria,NA
1,Av.Passos,Rodoviaria
1,Mal.Floriano,Rodoviaria
1,Candelaria,Rodoviaria
1,1o. de marco,Rodoviaria
1,Aerop.S.Dumont,Rodoviaria
1,Alm. Barroso,Rodoviaria
1,Cruz Vermelha,Rodoviaria
1,Rio Comprido 1,Rodoviaria
1,Sao Salvador,Rodoviaria
1,Morro da Viuva,Rodoviaria
1,General Glicerio,Rodoviaria
1,Cosme Velho,Rodoviaria
1,Leme,Rodoviaria
1,Morro da Catacumba,Rodoviaria
1,Fonte da Saudade,Rodoviaria
1,Parque Lage,Rodoviaria
1,Hipica,Rodoviaria
1,Vidigal,Rodoviaria
1,Vista Chinesa,Rodoviaria
1,Rocinha,Rodoviaria
2,Santo Cristo,Rodoviaria
2,Praca Maua,Rodoviaria
2,Passeio Publico,Rodoviaria
2,Av. Chile,Rodoviaria
2,Praca da Republica,Rodoviaria
2,Central do Brasil,Rodoviaria
2,Sambodromo,Rodoviaria
2,Piranhao,Rodoviaria
2,Estacio,Rodoviaria
2,Rio Comprido 2,Rodoviaria
2,Campos da Paz,Rodoviaria
2,Alto da Boa Vista,Rodoviaria
2,Sumare,Rodoviaria
2,Paqueta,Rodoviaria
2,Santa Tereza,Rodoviaria
2,Andre Cavalcanti,Rodoviaria
3,Santo Cristo 2,Rodoviaria
6,Gloria,General Glicerio
